original_product_id,class_name,return_reason_text,article_type,product_id,image_filename
1025,Jeans,"I was excited to see these jeans since they came in petite sizes and had a short inseam... unfortunately after ordering/returning several pairs, i found out that these are actually not petite jeans. please beware that if you are ordering these for the shorter inseam, they are actually 28 in... not 24 in as in the description. other than the inseam issues, they fit like typical paige denim.",Jeans,44924,44924.jpg
1094,Dresses,The dress arrived with a few snags and the fabric already pilling. the fabric will only get worse with wear. return. cute concept; poor fabric quality.,Dresses,24876,24876.jpg
1033,Jeans,"I originally got these in a 29 petite and thought they fit great right out of the bag (i'm usually a 6/8).. and within an hour of wearing them (to retailer, actually), the knees had gotten so baggy that they looked absolutely ridiculous; i've never had jeans do this. the salesperson at retailer agreed that they seemed very odd. i exchanged for a 28p at her suggestion, and i just hate them. i'd say the smaller size seems every so slightly small, but nothing major - but the waist actually folds over a",Jeans,9171,9171.jpg
1094,Dresses,Very cheap looking material. looks cheap to cost $158.,Dresses,38839,38839.jpg
1047,Pants,"I am 5'6"", 130 lbs with an athletic body type and i ordered a size small. these were really baggy in the thigh/quadricep area and made my thighs look bulky. the fabric quality is very nice and i like the idea of them for curvier body types. my son commented that they looked like pajama pants and i agreed.",Trousers,12288,12288.jpg
1099,Dresses,Beautiful dress but have to return. way too big & long for me. medium is the size i wear but i think i would need an extra small.,Dresses,31129,31129.jpg
1001,Skirts,"I agree with the other reviewers that this runs big. unfortunately there is nothing smaller than an xs so this is going back. i love the lyocell material, i have another skirt with this material and wanted to love this as well but it is too big and with the drawstring pulled tight to fit it doesn't look right. it is not as pictured as well. the skirt i received is a medium blue denim, not the lovely light blue as pictured, another reason why i am returning.",Skirts,9995,9995.jpg
1076,Dresses,"There is no way this is worth the price. i was deeply disappointed when it arrived. the material is thin and feels cheap. i love the design, and anna sui, but this is just so overpriced.",Dresses,59968,59968.jpg
1020,Skirts,"If i could sew, i'd take the fabric from this skirt and make it into a different shape (after ordering a bigger size). the fabric is just as it appears online -- totally gorgeous with almost a quilted feel to it. however, this thickness means the skirt sticks out like something judy jetson would wear. it's also too small in my go-to skirt size (and i order a lot at retailer). the waist and hips are small (making the skirt too short as well), but the bottom flares out ridiculously. i ordered two of",Skirts,30924,30924.jpg
1089,Dresses,I loved the color and design of this dress but needed to return it because it fit so poorly. the arm holes are entirely too big -- so big that alternations couldn't fix it. maybe it's because i am petite but i think it may be a design flaw.,Dresses,40431,40431.jpg
1068,Pants,"First, the good parts: these are adorable in person and (i think) the colors are prettier in person than in the pictures. the green isn't too army green, it's a pretty nice mellow neutral that you could wear with reds, whites, blues, pinks...virtually any color.

the tencel fabric is super soft and comfortable and the drape is nice. they do seem to run a little large, so i'd size down if you're between sizes.

and now, sadly, the bad: these stretch out virtually an entire size after just about a",Trousers,13249,13249.jpg
1068,Pants,"Hei hei is my favorite line. i am a medium in all of the pants i have ever purchased from this brand.
i ordered these in the green and they arrived today. they fit me as if they were an xxl. i have a similar pair in rust from last summer so i assumed that they would be the same. 
obviously they are going back tomorrow . i'm very disappointed, they are a nice looking jogger and the color is pretty.",Trousers,11268,11268.jpg
1094,Dresses,"This was so unflattering. the bust was too high so it hit me weird on the boobs. the green was a beautiful, vibrant color but the fabric is so delicate that one wrong move would cause a snag.",Dresses,18896,18896.jpg
1082,Dresses,"I opened the package and the dress is two pieces. it is the skirt part with an orange cami top that the sweater goes over. the sweater was too short for me, as i am busty and would not work. i ordered my normal size and the band around the rib cage did not go from side to side so i didn't try it on.",Dresses,59811,59811.jpg
1094,Dresses,"I really wanted to love this dress. i bought it for a photoshoot that will be outdoors, and thought that the green color would be perfect. it is well made, but the fabric is lighter than expected. the biggest issues was the size. i am 5'7"" and typically a size ten. i ordered the ten and it fit like a 14-16. it was huge. if you order this, i would say size down two sizes.",Dresses,44682,44682.jpg
1095,Dresses,This dress looked gorgeous in the monthly catalog. ordered in hopes to wear in easter. i felt it was frumpy and just ok. color was pretty but overall; i didn't love it like i hoped to.,Dresses,58489,58489.jpg
1095,Dresses,"I ordered this dress in the blood orange and have a few complaints. while it appears to be made with quality, it runs really large. also, in the picture the fabric appears to have a sheen and be somewhat dressy. the actual fabric is just flat cotton. it's a very casual dress, not as dressy as pictured. it's also quite shapeless on. i'm returning it.",Dresses,14197,14197.jpg
1095,Dresses,"This dress was not what i had hoped! from the online pictures, i had high hopes, but the fit was really wonky and the material seemed cheap. the arm holes were too big and made the dress seem more like a bathing suit cover up than a classy summer dress. needless to say, it's going back!",Dresses,34015,34015.jpg
1095,Dresses,"....that's what i look like wearing this dress. a sad, sad, sack. the fabric is less than ideal, and there is no shape to speak of. i love that it has pockets but that's about it. there was just way too much fabric for a petite person. this dress has got to be good on someone, sadly that person was not me.",Dresses,13310,13310.jpg
1003,Skirts,"For reference i am 5'5' 138 lbs with an hourglass figure and my usual small fit perfectly. the problems: 1. this skirt is not black but a charcoal gray/purple. 2. the sipper is reinforces with a stiff boarder on the inside so no matter where i put the waist it sticks straight out making me look like i have a tail under my skirt. in other words, i had a very pointy butt. also the slit or tulip part of the skirt goes all the way up to the waist, it needed to be tacked to the other part of the skir",Skirts,34494,34494.jpg
1022,Jeans,"I've been buying stevie ankles for years from retailer and been very happy. the past two pairs i bought had a heavy chemical smell, which i imagine is some kind of starch/chemical to keep the denim stiff. with the first pair, after enough washes to get rid of the bad smell (4), they lost all form and looked terrible since they were washed i couldn't return them. the 2nd pair arrived with the same heavy smell and i returned them. it may be they are made elsewhere now, but it's disappointing.",Jeans,11309,11309.jpg
1098,Dresses,I'm so incredibly disappointed. the dress is beautiful but the one i received is torn and has multiple strands of beads missing. poor quality control.,Dresses,18894,18894.jpg
1098,Dresses,"I was so excited to get this dress. i need it for a wedding, and i thought i had hit the jackpot. the dress arrived with a small tear. the seams are puckered and badly seen.  for an almost $300.00 dress, the quality is terrible. i expect better from retailer. i'm so disappointed.",Dresses,58003,58003.jpg
1083,Dresses,"For the price of this dress, i was expecting something decent. the style is cute, but nothing more. however, the type of the polyester that the dress is made of.... oh my. it is a thick unpleasant material, that will cling to a body when it is hot. i never came across an item at retailer that was made this cheaply.
the tag on the back was hanging at half and the button on the front was ready to come off before i even tried this dress on.
no need to say - it's going back asap.
you should not sel",Dresses,42216,42216.jpg
1081,Dresses,"I ordered this in the ""plum"" color, which in real life just looks like a very, very dark brown. that would probably be okay, but the dress is actually about 3 inches shorter than the listed measurements. i ordered the regular length, but the shortest part of the hem hits me only about halfway down my thigh...way, way too short. i am 5'5"", for reference. lastly, i think the fabric is just awful quality, especially for this price point. the slight texture makes it want to cling to itself - worn ou",Dresses,33503,33503.jpg
1094,Dresses,"I'm a big retailer buyer- and usually love the dresses, especially the petite xs maxis. this was the worst retailer purchase i have ever made. 

it was humongous and gave me no shape. even if i purchased an xxsp it probably would be the same. i'm small but i mean come on- this would only fit a giantess-- which also makes no sense because it's the petite size. 

do not buy. i'm very upset i have to pay the $5.95 return fee since i ordered this.",Dresses,58503,58503.jpg
1094,Dresses,"The dress is just ok. i cannot imagine having paid full price for this. i got it for florida vacation. i put it on to wear to church first and spilled a drop of lavender oil on it and it stained!!!! cant get it out. thats punk for a dress that even on sale is like. 
sending back",Dresses,10406,10406.jpg
1087,Dresses,"Looks fitted on, but this just turned out to be an oversized muumuu on. the fabric also felt cheap.",Dresses,43509,43509.jpg
1072,Dresses,"I was looking for an oversized silhouette but this is more like a beach cover-up. the waist does not have elastic or any structure. the top fabric is crossed over but not sewn closed, and because the fit is so loose it just gaps open. the fabric is nice quality but i am returning.",Dresses,36749,36749.jpg
1022,Jeans,"I ordered these because i loved the wide cut and overall look. but returned them because they fit weird. too tight around the too high waistline (and normally, i like a high waistline). fit ran small. and the overall quality of the fabric wasn't as nice as i was hoping for. pretty disappointed.",Jeans,9173,9173.jpg
977,Jackets,"I know this product description says oversized but that's an understatement. i ordered a small and tried it on and i looked like a little kid in their father's jacket. i don't even think an xs would have worked. i'm 5'6"" and about 135 pounds for reference. i will say that the embroidery on the back is very cool and this jacket is overall a cool concept but it's just way too big.",Jackets,14959,14959.jpg
1080,Dresses,This is such a beautiful dress.  but have to return for the reasons others have noted.  the chest does not fit well.,Dresses,24929,24929.jpg
1059,Pants,"Unique print but not great execution. the pant legs are very tight, i have average sized calves and i sized up one size. the hook closure was oddly tight and difficult to clasp. when i first saw the color it looked like burnt sienna or a dried blood color. too bad this didn't work out.",Trousers,16391,16391.jpg
1008,Skirts,"This skirt was horrible on me. it was loose in the waist, tight in the hips and poofed out like crazy at the tiered part on the bottom. the material also felt cheap and clingy. i guess the fit is tts, but it's hard to tell given how strange the cut was.",Skirts,11260,11260.jpg
1013,Skirts,"I was so excited about this skirt and pairing it with a cute blouse for the warmer weather. as i took out the skirt out of the package and flipped it around, the back has mesh strips that are see through! there is also no lining to go with this skirt. if you go back to the ""back view"" picture on the website and zoom in closely, you can see the model's black underwear.",Skirts,34492,34492.jpg
1095,Dresses,"I saw this dress and immediately started daydreaming about wearing it while honeymooning in italy along the amalfi coast or the cinque terre with my husband. and then i tried this dress on and immediately woke up. the cut is a disaster, the quality is terrible, and the dress just plain didn't work. the strips of elastic were sewn unevenly, giving the appearance that there was one large breast and one non-existent breast. the neckline was so long that it had to have the elastic run over the outsi",Dresses,59977,59977.jpg
481,Pants,"This romper is cute, well-made and true to size, but i haven't figured it out how to put this on without having someone tie the back ties. which pretty much means that going to the bathroom is not an option while you have this romper on. not sure what the designers were thinking here. i'm returning this one.",Trousers,27185,27185.jpg
1094,Dresses,"I was so excited to order this dress, had the perfect red shoes to go with it. unfortunately i could have been nine months pregnant and still wear the small. i am 5'4/118lb and it was like a maternity dress. sad to send it back.",Dresses,40413,40413.jpg
1080,Dresses,"I really wanted to like this dress and was so disappointed when it came in the mail. if you have any sort of hips, the light pattern in the middle doesn't do you any favors. this made my hips look soooo wide! and the seaming and gathering in the middle was just off. if it was one continuous piece of fabric it might look better. with the seam, the pattern was cut up and looked pieced together. that just drew too much attention to my stomach and hips. it had to go back.",Dresses,34167,34167.jpg
1001,Skirts,"I am almost always an xs in bottoms (sz 0-2) but literally couldn't get the stretchy waistband (no zip or fastening) in xs up my hips. in addition, the ""brocade"" is a very lightweight polyestery, tinselly weave--does not suggest quality. as others have noted, it also runs short; i'm 5'3'' and this was a little below knee length on me, not ankle-length. i've had luck with retailer's sale section in the past, including some items that didn't always start off with the best reviews, but have no regret",Skirts,41005,41005.jpg
1094,Dresses,"This dress had beautiful details, and the material was better than i expected; however, it was huge! it completed swallowed me. i am 5'1 about 106 pounds with quite a bit of muscle. i ordered a 00p and it still looked like a sack.",Dresses,37267,37267.jpg
1001,Skirts,"I agree with the previous reviewer that the length is not at all what is shown in the picture. much shorter than that. and while the overall detail of the skirt is very nice, the elastic waistband makes it look cheap considering the price...",Skirts,27199,27199.jpg
1054,Pants,"I ordered these pants after seeing the good reviews, but i don't agree. these are going back. i ordered a small. i'm 5'5"" and 135 pounds. i am usually between a small and a medium in pants, but the small in these pants is huge. i could definitely fit into an xs. but i also don't think they are very flattering and don't like the feel of the fabric. it's too bad. i love the idea of these.",Trousers,38121,38121.jpg
1081,Dresses,"I purchased this and another eva franco dress during retailer's recent 20% off sale. i was looking for dresses that were work appropriate, but that would also transition well to happy hour or date night. they both seemed to be just what i was looking for. i ordered a 4 regular and a 6 regular, as i am usually in between sizes. the 4 was definitely too small. the 6 fit, technically, but was very ill fitting. not only is the dress itself short, but it is very short-waisted. i am only 5'3"", but it fe",Dresses,59987,59987.jpg
1082,Dresses,"This dress looks lovely on the model, but it looks just awful on me!
i am 5'4"" and curvy. the shoulders are cut w/ a weird shape. instead of a cap sleeve, it is like a pointy cap on the side and stuck out on my shoulders. it looks like i am ready to get beamed into space.
the material is nice and the sequins are pretty, but the cut of the dress is unflattering.",Dresses,34586,34586.jpg
1081,Dresses,"It's pretty, floaty, feminine; the photos don't do justice to the prettiness. but the photos also don't show an asymmetrical hem. i understood it runs small so i got two sizes, to be safe, and even my larger size was strangely short-waisted, and i'm short-waisted to start with. maybe i could've lived with that, but both the dresses i received have an uneven hem unlike any i've ever worn or seen before. it's not longer on just the sides; the hem is longer in one spot on the front, and one in the",Dresses,43667,43667.jpg
1016,Skirts,"Such a cute skirt- but impossible to get on. ordered in an xs (i have a 25/26 waist) but could barely get it past my knees to step into. if you have any hips at all, unfortunately this skirt won't work. i was tempted to size up but once i got it on it fit great in the waist and already had too much material to size up to a small.",Skirts,5581,5581.jpg
1016,Skirts,Cute skirt but i agree with the other reviewer. you can't get it on! i tried my skinny daughter tried no go!,Skirts,8496,8496.jpg
1016,Skirts,"This looked like such a cute, casual skirt when i picked it up but like other reviewers have said, it runs small. i'm usually a xs in retailer skirts but they only had a small to try on. i was able to get it on but did notice it was snug pulling on past my hips. however once on, i couldn't figure out how i'd wear this. i wouldn't pair this with a flowy top but tucking something in didn't seem like a good idea either. between the pleats and elastic waist it will make almost anyone look like they ha",Skirts,30928,30928.jpg
1016,Skirts,I thought it was only me and immediately assumed i needed to go on a diet when i attempted to put this adorable skirt on. it got stuck at my hips. i'm a very consistent size small in dresses and skirts. i actually thought about putting it on over my head but that was impossible. its going back. now i see the other reviews and am relieved that its the skirt and not me! wish i had read them before purchasing. retailer is going to get a lot of returns on this one.,Skirts,27231,27231.jpg
1016,Skirts,"This skirt is very pretty, but not only does it run small but only a small portion of the waistband is elasticized, so there's very little stretch. for those of us with a significant difference in our waist and hip measurements, there's no way to get this skirt on past the hips.",Skirts,16805,16805.jpg
1016,Skirts,I agree with the other reviews - runs small. would have been perfect if it actually was comfortable. waistband doesn't stretch all the way around. bummer.,Skirts,39725,39725.jpg
1016,Skirts,"What an adorable and frustrating skirt! i'm not a large person: 32d-26-36. and i ordered my normal size small. this is a pull on skirt, and the waist opening could not accommodate either my shoulders or my hips. in most retailer clothes, i'm either a size 2 or 4; i have to agree with the other reviewer. there is no way to put this item on.",Skirts,47657,47657.jpg
1083,Dresses,The pleats on the bib make this look like something from chloe sevigny's wardrobe on the set of big love. and the shoulders are cut for an offensive lineman.,Dresses,27224,27224.jpg
1095,Dresses,"I love the colors of this dress, and i waited for the sale since it isn't really good for work. i wear size 6 in hd all the time, but this one doesn't fit at all on the top. the bust is cut for someone really curvy, but the bottom is for someone really straight. i don't know what they were using for a model, but this has to be tried on before purchased. the material is also rough, and there is no lining to protect you from that. i love my hd dresses for style and functionality, but this one is j",Dresses,50722,50722.jpg
1072,Dresses,"This dress looked super cute in the picture and on the model. i ordered the petite style and it was still so big and way too loose. no shape whatsoever! i unfortunately had to return it. i love loose dresses but this one was way too big, loose and had no shape at all.",Dresses,33997,33997.jpg
1092,Dresses,I own many retailer dresses but the sizing can be odd. i usually wear a size 4-6 and i have a floreat maxi dress size 4 that works well. i am 34c and based on the reviews i decided to order a size 6. the dress fits well except for he bust area that is very snug/couldn't even get the zipper up. i will probably have to order a size 10 to be able to close the zipper on the bust area but it will be huge everywhere else.the fabric seems very delicate and may develop runs easily. it's a shame because th,Dresses,57993,57993.jpg
1111,Dresses,This dress is so beautiful in person! but the quality was very upsetting. i had two buttons come off before even putting it on. i was so excited to get his dress for my wedding shower and then i couldn't wear it :(,Dresses,58520,58520.jpg
1086,Dresses,"This dress will unfortunately be returned...so cute online and looks like a sack in person.  runs very large, arm holes are very low.  not flattering.",Dresses,41565,41565.jpg
1086,Dresses,If you have any cleavage this dress will look awful. the ties drop pretty low & look trashy over cleavage. recommend otherwise - good fabric cool look,Dresses,58506,58506.jpg
1102,Dresses,A $200 piece of polyester with no shape and looks good only on the model. avoid ! mine went back the same day it came in the mail...,Dresses,43644,43644.jpg
992,Skirts,"I agree with the other reviewer who said there was too much hardware and such. this really does have a lot going on. i usually wear a 4 in skirts, and based on reviews, went up one size. it still saw way up near my chest - i think even an 8 would be too small! it's sooooo tiny at the waist. probably buy 2 sizes, 2 and 3 sizes up from your own. also, the skirt flares super wide at the sides, it doesn't sit the way in the photo or maybe the model is holding it down with her hand. it's like a skirt",Skirts,13263,13263.jpg
1110,Dresses,"The fabric is too sheer, also looks like sleepwear. just not my thing.",Dresses,24876,24876.jpg
1110,Dresses,"The fabric clung to my body i expected it to flow and be breezy, it was too flimsy, the arms were too wide and overall for $100 this dress didn't cut the mustard. i'm 5'7"" 135 the dress was long enough, just didn't flow very well.",Dresses,57047,57047.jpg
1002,Skirts,"First of all, this skirt is as cute on as it is in the picture. very flattering. i am a curvy gal on the bottom and this is flattering. that being said, it runs small. i purchased a large which is my usual size, and i need another inch or two all over to make it work. part of the problem is the material. it is a very heavy, durable upholstery like material. there is absolutely no give to this. it is a very stiff material as well -- more what i would expect on a sofa than on my skirt. the skirt c",Skirts,10652,10652.jpg
1099,Dresses,I wear med or large in most items. the medium was huge. fit like a moo moo. size down by at least two.,Dresses,34095,34095.jpg
1095,Dresses,"I bought this dress to wear to an out of state wedding. first time wearing, when i tied the strap, the pull through at the top of the halter broke with minimal stress. i sewed it back with a repair kit from the hotel but was worried the whole night the dress would not hold up. if this is all that is holding the dress on, it should be more secure with reinforced stitching. beautiful material and comfortable.",Dresses,34599,34599.jpg
1078,Dresses,"I wanted to love this. couldn't wait for it to arrive.  unfortunately, it doesn't look anything like the picture.  i usually wear a m/l in holding horses so i ordered a l but as soon as i held it up i noticed it was ridiculously large. the fabric is on the heavy side so the dress just hangs in a very unflattering way. and, it is extremely shimmery.  i love velvet, but the texture and sheen of this dress was just over the top. sadly, it is going back.",Dresses,26935,26935.jpg
1078,Dresses,"I wanted a comfortable and loose casual dress. i liked the pictures and decided to give it a try.
the dress turned out to be too loose (i got size 4 after checking the measurements chart, i'm 5'7' 125 lb and usually wear s). i could practically wrap myself in this dress. besides, it looks a bit too long (well, i'm not as tall as the model in the photos and i don't like wearing high heels).
the material looks faded, not as bright as in the pictures. i like distressed and vintage style, but this",Dresses,2710,2710.jpg
1077,Dresses,"This is quite an odd dress. it does wrap and is beautiful material. however, the dress does not close at all in the chest area. i thought perhaps it was meant to be a kimono. it will go back for sure.",Dresses,6872,6872.jpg
1104,Dresses,"This dress had so much potential. the top was absolutely gorgeous. my issue was with the bottom half of the dress. the bottom is made from a heavy quilted material that is stiff and has no movement at all. the dress is supposed to fit like a modified mermaid dress where its more fitted around the hips and flares out, the dress i received had so much material on the bottom that it actually made my hips look bigger. i though about having the dress altered but decided to return instead.",Dresses,38838,38838.jpg
1054,Pants,"These felt like they were cutting off circulation around the calves. i tried pulling them lower to reduce the tightness but that made them way too droopy between the legs. an alternative would be to clip the elastic, but ultimately decided to return.",Trousers,26152,26152.jpg
